  63130 1001      20   0 1313196 337828  42812 S 156.2   2.1  31:10.78 application
  63130 1001      20   0 1314220 338356  42812 S 408.0   2.1  31:14.86 application
  63130 1001      20   0 1314220 338356  42812 S 399.0   2.1  31:18.85 application
  63130 1001      20   0 1314220 338356  42812 S 401.0   2.1  31:22.86 application
  63130 1001      20   0 1314220 338356  42812 S 400.0   2.1  31:26.86 application
  63130 1001      20   0 1314220 338356  42812 S 400.0   2.1  31:30.86 application
  63130 1001      20   0 1314220 338620  42812 S 400.0   2.1  31:34.86 application
  63130 1001      20   0 1314220 338620  42812 S 401.0   2.1  31:38.87 application
  63130 1001      20   0 1314220 338620  42812 S 395.0   2.1  31:42.86 application
  63130 1001      20   0 1315244 338620  42812 S 400.0   2.1  31:46.86 application
  63130 1001      20   0 1315244 338884  42812 S 403.0   2.1  31:50.89 application
  63130 1001      20   0 1315244 338884  42812 S 400.0   2.1  31:54.89 application
  63130 1001      20   0 1315244 338884  42812 S 401.0   2.1  31:58.90 application
  63130 1001      20   0 1315244 338884  42812 S 402.0   2.1  32:02.92 application
  63130 1001      20   0 1315244 339148  42812 S 400.0   2.1  32:06.92 application
  63130 1001      20   0 1315244 339148  42812 S 402.0   2.1  32:10.94 application
  63130 1001      20   0 1315244 339412  42812 S 397.0   2.1  32:14.95 application
  63130 1001      20   0 1315244 339412  42812 S 401.0   2.1  32:18.96 application
  63130 1001      20   0 1315244 339412  42812 S 399.0   2.1  32:22.95 application
  63130 1001      20   0 1315244 339412  42812 S 402.0   2.1  32:26.97 application
  63130 1001      20   0 1315244 339412  42812 S 400.0   2.1  32:30.97 application
  63130 1001      20   0 1315244 339412  42812 S 403.0   2.1  32:35.00 application
  63130 1001      20   0 1315244 339412  42812 S 400.0   2.1  32:39.00 application
  63130 1001      20   0 1315244 339676  42812 S 397.0   2.1  32:43.01 application
  63130 1001      20   0 1315244 339940  42812 S 402.0   2.1  32:47.03 application
  63130 1001      20   0 1316268 340204  42812 S 400.0   2.1  32:51.03 application
  63130 1001      20   0 1316268 340204  42812 S 400.0   2.1  32:55.03 application
  63130 1001      20   0 1316268 340204  42812 S 404.0   2.1  32:59.07 application
  63130 1001      20   0 1316268 340204  42812 S 398.0   2.1  33:03.05 application
  63130 1001      20   0 1316268 340204  42812 S 402.0   2.1  33:07.07 application
  63130 1001      20   0 1316268 340204  42812 S 400.0   2.1  33:11.07 application
  63130 1001      20   0 1316268 340468  42812 S 398.0   2.1  33:15.09 application
  63130 1001      20   0 1316268 340468  42812 S 400.0   2.1  33:19.09 application
  63130 1001      20   0 1316268 340732  42812 S 403.0   2.1  33:23.12 application
  63130 1001      20   0 1316268 340996  42812 S 399.0   2.1  33:27.11 application
  63130 1001      20   0 1316268 341260  42812 S 402.0   2.1  33:31.13 application
  63130 1001      20   0 1316268 341260  42812 S 400.0   2.1  33:35.13 application
  63130 1001      20   0 1316268 341260  42812 S 402.0   2.1  33:39.15 application
  63130 1001      20   0 1316268 341260  42812 S 393.1   2.1  33:43.12 application
  63130 1001      20   0 1316268 341260  42812 S 400.0   2.1  33:47.12 application
  63130 1001      20   0 1317292 341524  42812 S 404.0   2.1  33:51.16 application
  63130 1001      20   0 1317292 341524  42812 S 401.0   2.1  33:55.17 application
  63130 1001      20   0 1317292 341524  42812 S 402.0   2.1  33:59.19 application
  63130 1001      20   0 1317292 341524  42812 S 398.0   2.1  34:03.17 application
  63130 1001      20   0 1317292 341524  42812 S 402.0   2.1  34:07.19 application
  63130 1001      20   0 1317292 341524  42812 S 397.0   2.1  34:11.16 application
  63130 1001      20   0 1317292 341524  42812 S 400.0   2.1  34:15.20 application
  63130 1001      20   0 1317292 341524  42812 S 400.0   2.1  34:19.20 application
  63130 1001      20   0 1317292 341524  42812 S 402.0   2.1  34:23.22 application
  63130 1001      20   0 1317
