  40175 1001      20   0 1323436 347688  42484 S 181.2   2.1  39:15.97 application
  40175 1001      20   0 1324460 348216  42484 S 404.0   2.1  39:20.01 application
  40175 1001      20   0 1324460 348216  42484 S 401.0   2.1  39:24.02 application
  40175 1001      20   0 1324460 348216  42484 S 400.0   2.1  39:28.02 application
  40175 1001      20   0 1324460 348480  42484 S 401.0   2.1  39:32.03 application
  40175 1001      20   0 1324460 348480  42484 S 401.0   2.1  39:36.04 application
  40175 1001      20   0 1324460 348480  42484 S 401.0   2.1  39:40.05 application
  40175 1001      20   0 1325484 348744  42484 S 400.0   2.1  39:44.05 application
  40175 1001      20   0 1325484 349008  42484 S 401.0   2.1  39:48.06 application
  40175 1001      20   0 1325484 349008  42484 S 398.0   2.1  39:52.08 application
  40175 1001      20   0 1325484 349008  42484 S 400.0   2.1  39:56.08 application
  40175 1001      20   0 1325484 349008  42484 S 402.0   2.1  40:00.10 application
  40175 1001      20   0 1325484 349008  42484 S 401.0   2.1  40:04.11 application
  40175 1001      20   0 1325484 349008  42484 S 400.0   2.1  40:08.11 application
  40175 1001      20   0 1325484 349536  42484 S 402.0   2.1  40:12.13 application
  40175 1001      20   0 1325484 349536  42484 S 402.0   2.1  40:16.15 application
  40175 1001      20   0 1325484 349536  42484 S 395.0   2.1  40:20.14 application
  40175 1001      20   0 1325484 349536  42484 S 402.0   2.1  40:24.16 application
  40175 1001      20   0 1325484 349800  42484 S 398.0   2.1  40:28.14 application
  40175 1001      20   0 1325484 349800  42484 S 402.0   2.1  40:32.16 application
  40175 1001      20   0 1326508 349800  42484 S 404.0   2.1  40:36.20 application
  40175 1001      20   0 1326508 350328  42484 S 399.0   2.1  40:40.19 application
  40175 1001      20   0 1326508 350328  42484 S 402.0   2.1  40:44.21 application
  40175 1001      20   0 1326508 350328  42484 S 401.0   2.1  40:48.22 application
  40175 1001      20   0 1326508 350328  42484 S 397.0   2.1  40:52.23 application
  40175 1001      20   0 1326508 350328  42484 S 400.0   2.1  40:56.23 application
  40175 1001      20   0 1326508 350328  42484 S 402.0   2.1  41:00.25 application
  40175 1001      20   0 1326508 350328  42484 S 400.0   2.1  41:04.25 application
  40175 1001      20   0 1326508 350592  42484 S 400.0   2.1  41:08.25 application
  40175 1001      20   0 1326508 350592  42484 S 399.0   2.1  41:12.24 application
  40175 1001      20   0 1326508 350592  42484 S 404.0   2.1  41:16.28 application
  40175 1001      20   0 1326508 350592  42484 S 400.0   2.1  41:20.28 application
  40175 1001      20   0 1327532 350592  42484 S 396.0   2.1  41:24.28 application
  40175 1001      20   0 1327532 350592  42484 S 402.0   2.1  41:28.30 application
  40175 1001      20   0 1327532 350592  42484 S 399.0   2.1  41:32.29 application
  40175 1001      20   0 1327532 350592  42484 S 404.0   2.1  41:36.33 application
  40175 1001      20   0 1327532 351120  42484 S 396.0   2.2  41:40.29 application
  40175 1001      20   0 1327532 351120  42484 S 404.0   2.2  41:44.33 application
  40175 1001      20   0 1327532 351120  42484 S 401.0   2.2  41:48.34 application
  40175 1001      20   0 1327532 351384  42484 S 401.0   2.2  41:52.35 application
  40175 1001      20   0 1327532 351648  42484 S 398.0   2.2  41:56.37 application
  40175 1001      20   0 1327532 351648  42484 S 396.0   2.2  42:00.33 application
  40175 1001      20   0 1327532 351648  42484 S 406.0   2.2  42:04.39 application
  40175 1001      20   0 1327532 351648  42484 S 398.0   2.2  42:08.37 application
  40175 1001      20   0 1328556 351912  42484 S 398.0   2.2  42:12.35 application
  40175 1001      20   0 1328556 351912  42484 S 400.0   2.2  42:16.35 application
  40175 1001      20   0 1328556 351912  42484 S 405.0   2.2  42:20.40 application
  40175 1001      20   0 1328556 351912  42484 S 397.0   2.2  42:24.37 application
  40175 1001      20   0 1328556 351912  42484 S 398.0   2.2  42:28.39 application
  40175 1001      20   0 1328
