   6396 root      20   0   13.6g 645324  28788 S 326.7   3.9   7:12.98 java
   6396 root      20   0   13.6g 645672  28788 S 360.0   3.9   7:16.58 java
   6396 root      20   0   13.6g 645672  28788 S 329.7   3.9   7:19.91 java
   6396 root      20   0   13.6g 645672  28788 S 331.0   3.9   7:23.22 java
   6396 root      20   0   13.6g 645908  28788 S 336.0   3.9   7:26.58 java
   6396 root      20   0   13.6g 645908  28788 S 335.0   3.9   7:29.93 java
   6396 root      20   0   13.6g 645908  28788 S 333.0   3.9   7:33.26 java
   6396 root      20   0   13.6g 645908  28788 S 331.0   3.9   7:36.57 java
   6396 root      20   0   13.6g 645908  28788 S 331.0   3.9   7:39.88 java
   6396 root      20   0   13.6g 645908  28788 S 332.0   3.9   7:43.20 java
   6396 root      20   0   13.6g 646264  28788 S 331.0   3.9   7:46.51 java
   6396 root      20   0   13.6g 649324  28788 S 335.0   4.0   7:49.86 java
   6396 root      20   0   13.6g 649324  28788 S 325.7   4.0   7:53.15 java
   6396 root      20   0   13.6g 649324  28788 S 331.0   4.0   7:56.46 java
   6396 root      20   0   13.6g 649324  28788 S 328.0   4.0   7:59.74 java
   6396 root      20   0   13.6g 649880  28788 S 334.0   4.0   8:03.08 java
   6396 root      20   0   13.6g 649988  28788 S 334.0   4.0   8:06.42 java
   6396 root      20   0   13.6g 649988  28788 S 332.0   4.0   8:09.74 java
   6396 root      20   0   13.6g 650040  28788 S 337.0   4.0   8:13.11 java
   6396 root      20   0   13.6g 650168  28788 S 331.0   4.0   8:16.42 java
   6396 root      20   0   13.6g 650168  28788 S 337.0   4.0   8:19.79 java
   6396 root      20   0   13.6g 650168  28788 S 333.0   4.0   8:23.12 java
   6396 root      20   0   13.6g 650316  28788 S 331.7   4.0   8:26.47 java
   6396 root      20   0   13.6g 650316  28788 S 331.0   4.0   8:29.78 java
   6396 root      20   0   13.6g 650316  28788 S 331.0   4.0   8:33.09 java
   6396 root      20   0   13.6g 650316  28788 S 329.0   4.0   8:36.38 java
   6396 root      20   0   13.6g 650528  28788 S 331.0   4.0   8:39.69 java
   6396 root      20   0   13.6g 650528  28788 S 333.0   4.0   8:43.02 java
   6396 root      20   0   13.6g 650528  28788 S 333.0   4.0   8:46.35 java
   6396 root      20   0   13.6g 650528  28788 S 330.0   4.0   8:49.65 java
   6396 root      20   0   13.6g 650528  28788 S 329.0   4.0   8:52.94 java
   6396 root      20   0   13.6g 650528  28788 S 329.0   4.0   8:56.23 java
   6396 root      20   0   13.6g 650528  28788 S 325.7   4.0   8:59.52 java
   6396 root      20   0   13.6g 650664  28788 S 330.0   4.0   9:02.82 java
   6396 root      20   0   13.6g 651052  28788 S 331.0   4.0   9:06.13 java
   6396 root      20   0   13.6g 651052  28788 S 336.0   4.0   9:09.49 java
   6396 root      20   0   13.6g 651052  28788 S 333.0   4.0   9:12.82 java
   6396 root      20   0   13.6g 651052  28788 S 335.0   4.0   9:16.17 java
   6396 root      20   0   13.6g 651052  28788 S 334.0   4.0   9:19.51 java
   6396 root      20   0   13.6g 651052  28788 S 336.0   4.0   9:22.87 java
   6396 root      20   0   13.6g 651052  28788 S 333.0   4.0   9:26.20 java
   6396 root      20   0   13.6g 651052  28788 S 334.0   4.0   9:29.54 java
   6396 root      20   0   13.6g 651192  28788 S 331.7   4.0   9:32.89 java
   6396 root      20   0   13.6g 651192  28788 S 333.0   4.0   9:36.22 java
   6396 root      20   0   13.6g 651192  28788 S 334.0   4.0   9:39.56 java
   6396 root      20   0   13.6g 651192  28788 S 331.0   4.0   9:42.87 java
   6396 root      20   0   13.6g 651192  28788 S 329.0   4.0   9:46.16 java
   6396 root      20   0   13.6g 651192  28788 S 328.0   4.0   9:49.44 java
   6396 root      20   0   13.6g 651192  28788 S 333.0   4.0   9:52.77 java
   6396 root      20   0   13.6g 651192  28788 S 331.0   4.0   9:56.08 java
   6396 root      20   0   13.6g 651192  28788 S 330.0   4.0   9:59.38 java
   6396 root      20   0   13.6g 651332  28788 S 328.7   4.0  10:02.70 java
   6396 root      20   0   13.6g 651332  28788 S 330.0   4.0  10:06.00 java
   6396 root      20   0   13.6g 651332  28788 S 330.0   4.0  10:09.
