  17209 1001      20   0 1358252 381792  42292 S 173.3   2.3  63:23.91 application
  17209 1001      20   0 1359276 382320  42292 S 405.0   2.3  63:27.96 application
  17209 1001      20   0 1359276 382320  42292 S 402.0   2.3  63:31.98 application
  17209 1001      20   0 1359276 382320  42292 S 400.0   2.3  63:35.98 application
  17209 1001      20   0 1359276 382848  42292 S 401.0   2.3  63:39.99 application
  17209 1001      20   0 1359276 382848  42292 S 401.0   2.3  63:44.00 application
  17209 1001      20   0 1359276 383112  42292 S 397.0   2.3  63:48.01 application
  17209 1001      20   0 1359276 383376  42292 S 402.0   2.4  63:52.03 application
  17209 1001      20   0 1360300 383640  42292 S 399.0   2.4  63:56.02 application
  17209 1001      20   0 1360300 383904  42292 S 401.0   2.4  64:00.03 application
  17209 1001      20   0 1360300 383904  42292 S 403.0   2.4  64:04.06 application
  17209 1001      20   0 1360300 383904  42292 S 400.0   2.4  64:08.06 application
  17209 1001      20   0 1360300 383904  42292 S 400.0   2.4  64:12.06 application
  17209 1001      20   0 1360300 383904  42292 S 401.0   2.4  64:16.07 application
  17209 1001      20   0 1360300 383904  42292 S 397.0   2.4  64:20.08 application
  17209 1001      20   0 1360300 383904  42292 S 402.0   2.4  64:24.10 application
  17209 1001      20   0 1360300 383904  42292 S 401.0   2.4  64:28.11 application
  17209 1001      20   0 1360300 384168  42292 S 402.0   2.4  64:32.13 application
  17209 1001      20   0 1360300 384168  42292 S 396.0   2.4  64:36.09 application
  17209 1001      20   0 1360300 384168  42292 S 405.0   2.4  64:40.14 application
  17209 1001      20   0 1361324 384168  42292 S 398.0   2.4  64:44.12 application
  17209 1001      20   0 1361324 384168  42292 S 398.0   2.4  64:48.14 application
  17209 1001      20   0 1361324 384168  42292 S 403.0   2.4  64:52.17 application
  17209 1001      20   0 1361324 384432  42292 S 400.0   2.4  64:56.17 application
  17209 1001      20   0 1361324 384432  42292 S 403.0   2.4  65:00.20 application
  17209 1001      20   0 1361324 384696  42292 S 398.0   2.4  65:04.18 application
  17209 1001      20   0 1361324 384696  42292 S 404.0   2.4  65:08.22 application
  17209 1001      20   0 1361324 384696  42292 S 400.0   2.4  65:12.22 application
  17209 1001      20   0 1361324 384696  42292 S 394.1   2.4  65:16.20 application
  17209 1001      20   0 1361324 384960  42292 S 404.0   2.4  65:20.24 application
  17209 1001      20   0 1361324 385224  42292 S 400.0   2.4  65:24.24 application
  17209 1001      20   0 1361324 385224  42292 S 399.0   2.4  65:28.23 application
  17209 1001      20   0 1362348 385488  42292 S 403.0   2.4  65:32.26 application
  17209 1001      20   0 1362348 385752  42292 S 401.0   2.4  65:36.27 application
  17209 1001      20   0 1362348 385752  42292 S 398.0   2.4  65:40.25 application
  17209 1001      20   0 1362348 385752  42292 S 401.0   2.4  65:44.26 application
  17209 1001      20   0 1362348 386016  42292 S 397.0   2.4  65:48.27 application
  17209 1001      20   0 1362348 386016  42292 S 400.0   2.4  65:52.27 application
  17209 1001      20   0 1362348 386016  42292 S 399.0   2.4  65:56.26 application
  17209 1001      20   0 1362348 386280  42292 S 401.0   2.4  66:00.27 application
  17209 1001      20   0 1362348 386280  42292 S 400.0   2.4  66:04.27 application
  17209 1001      20   0 1362348 386280  42292 S 399.0   2.4  66:08.26 application
  17209 1001      20   0 1362348 386280  42292 S 400.0   2.4  66:12.26 application
  17209 1001      20   0 1362348 386280  42292 S 401.0   2.4  66:16.27 application
  17209 1001      20   0 1363372 386280  42292 S 395.0   2.4  66:20.26 application
  17209 1001      20   0 1363372 386280  42292 S 400.0   2.4  66:24.26 application
  17209 1001      20   0 1363372 386280  42292 S 401.0   2.4  66:28.27 application
  17209 1001      20   0 1363372 386280  42292 S 400.0   2.4  66:32.27 application
  17209 1001      20   0 1363372 386280  42292 S 400.0   2.4  66:36.27 application
  17209 1001      20   0 1363
