  17209 1001      20   0 1335724 359088  42292 S 180.0   2.2  47:24.08 application
  17209 1001      20   0 1335724 359616  42292 S 409.0   2.2  47:28.17 application
  17209 1001      20   0 1336748 359616  42292 S 396.0   2.2  47:32.17 application
  17209 1001      20   0 1336748 359616  42292 S 399.0   2.2  47:36.16 application
  17209 1001      20   0 1336748 359880  42292 S 401.0   2.2  47:40.17 application
  17209 1001      20   0 1336748 359880  42292 S 400.0   2.2  47:44.17 application
  17209 1001      20   0 1336748 359880  42292 S 400.0   2.2  47:48.17 application
  17209 1001      20   0 1336748 359880  42292 S 400.0   2.2  47:52.17 application
  17209 1001      20   0 1336748 360144  42292 S 400.0   2.2  47:56.17 application
  17209 1001      20   0 1336748 360144  42292 S 400.0   2.2  48:00.17 application
  17209 1001      20   0 1336748 360144  42292 S 395.0   2.2  48:04.16 application
  17209 1001      20   0 1336748 360672  42292 S 402.0   2.2  48:08.18 application
  17209 1001      20   0 1336748 360672  42292 S 401.0   2.2  48:12.19 application
  17209 1001      20   0 1336748 360672  42292 S 401.0   2.2  48:16.20 application
  17209 1001      20   0 1337772 360672  42292 S 401.0   2.2  48:20.21 application
  17209 1001      20   0 1337772 360936  42292 S 399.0   2.2  48:24.20 application
  17209 1001      20   0 1337772 360936  42292 S 402.0   2.2  48:28.22 application
  17209 1001      20   0 1337772 361200  42292 S 401.0   2.2  48:32.23 application
  17209 1001      20   0 1337772 361464  42292 S 397.0   2.2  48:36.24 application
  17209 1001      20   0 1337772 361464  42292 S 402.0   2.2  48:40.26 application
  17209 1001      20   0 1337772 361728  42292 S 400.0   2.2  48:44.26 application
  17209 1001      20   0 1337772 361728  42292 S 401.0   2.2  48:48.27 application
  17209 1001      20   0 1337772 361728  42292 S 402.0   2.2  48:52.29 application
  17209 1001      20   0 1337772 361728  42292 S 401.0   2.2  48:56.30 application
  17209 1001      20   0 1337772 361728  42292 S 401.0   2.2  49:00.31 application
  17209 1001      20   0 1337772 361728  42292 S 397.0   2.2  49:04.32 application
  17209 1001      20   0 1338796 361728  42292 S 402.0   2.2  49:08.34 application
  17209 1001      20   0 1338796 361728  42292 S 400.0   2.2  49:12.34 application
  17209 1001      20   0 1338796 361728  42292 S 400.0   2.2  49:16.34 application
  17209 1001      20   0 1338796 361992  42292 S 403.0   2.2  49:20.37 application
  17209 1001      20   0 1338796 361992  42292 S 400.0   2.2  49:24.37 application
  17209 1001      20   0 1338796 362256  42292 S 400.0   2.2  49:28.37 application
  17209 1001      20   0 1338796 362256  42292 S 401.0   2.2  49:32.38 application
  17209 1001      20   0 1338796 362520  42292 S 397.0   2.2  49:36.39 application
  17209 1001      20   0 1338796 362520  42292 S 402.0   2.2  49:40.41 application
  17209 1001      20   0 1338796 362520  42292 S 398.0   2.2  49:44.39 application
  17209 1001      20   0 1338796 362520  42292 S 401.0   2.2  49:48.40 application
  17209 1001      20   0 1338796 362520  42292 S 399.0   2.2  49:52.39 application
  17209 1001      20   0 1339820 362784  42292 S 405.0   2.2  49:56.44 application
  17209 1001      20   0 1339820 362784  42292 S 402.0   2.2  50:00.46 application
  17209 1001      20   0 1339820 362784  42292 S 394.1   2.2  50:04.44 application
  17209 1001      20   0 1339820 363048  42292 S 404.0   2.2  50:08.48 application
  17209 1001      20   0 1339820 363048  42292 S 401.0   2.2  50:12.49 application
  17209 1001      20   0 1339820 363048  42292 S 402.0   2.2  50:16.51 application
  17209 1001      20   0 1339820 363312  42292 S 399.0   2.2  50:20.50 application
  17209 1001      20   0 1339820 363312  42292 S 400.0   2.2  50:24.50 application
  17209 1001      20   0 1339820 363576  42292 S 402.0   2.2  50:28.52 application
  17209 1001      20   0 1339820 363576  42292 S 396.0   2.2  50:32.48 application
  17209 1001      20   0 1339820 363576  42292 S 401.0   2.2  50:36.49 application
  17209 1001      20   0 1339
