  34416 root      20   0 9226748 482320  29132 S 106.7   3.0   1:33.78 java
  34416 root      20   0 9226748 503392  29132 S 149.0   3.1   1:35.27 java
  34416 root      20   0 9226748 503392  29132 S  90.0   3.1   1:36.17 java
  34416 root      20   0 9226748 503440  29132 S  94.1   3.1   1:37.12 java
  34416 root      20   0 9226748 503440  29132 S  86.0   3.1   1:37.98 java
  34416 root      20   0 9226748 503440  29132 S  87.0   3.1   1:38.85 java
  34416 root      20   0 9226748 503440  29132 S  86.0   3.1   1:39.71 java
  34416 root      20   0 9226748 503440  29132 S  88.0   3.1   1:40.59 java
  34416 root      20   0 9226748 503440  29132 S  86.0   3.1   1:41.45 java
  34416 root      20   0 9226748 480804  29132 S  86.0   2.9   1:42.31 java
  34416 root      20   0 9226748 480804  29132 S  86.0   2.9   1:43.17 java
  34416 root      20   0 9226748 480804  29132 S  85.0   2.9   1:44.02 java
  34416 root      20   0 9226748 480804  29132 S  85.0   2.9   1:44.87 java
  34416 root      20   0 9226748 480804  29132 S  86.0   2.9   1:45.73 java
  34416 root      20   0 9226748 480804  29132 S  85.1   2.9   1:46.59 java
  34416 root      20   0 9226748 480804  29132 S  84.0   2.9   1:47.43 java
  34416 root      20   0 9226748 480804  29132 S  85.0   2.9   1:48.28 java
  34416 root      20   0 9226748 480804  29132 S  84.0   2.9   1:49.12 java
  34416 root      20   0 9226748 480804  29132 S  85.0   2.9   1:49.97 java
  34416 root      20   0 9226748 480804  29132 S  84.0   2.9   1:50.81 java
  34416 root      20   0 9226748 480804  29132 S  85.0   2.9   1:51.66 java
  34416 root      20   0 9226748 480948  29132 S  85.0   2.9   1:52.51 java
  34416 root      20   0 9226748 480948  29132 S  83.0   2.9   1:53.34 java
  34416 root      20   0 9226748 481116  29132 S  85.0   3.0   1:54.19 java
  34416 root      20   0 9226748 481216  29132 S  84.2   3.0   1:55.04 java
  34416 root      20   0 9226748 481216  29132 S  83.0   3.0   1:55.87 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   1:56.72 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   1:57.57 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   1:58.41 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   1:59.25 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   2:00.10 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   2:00.95 java
  34416 root      20   0 9226748 481216  29132 S  83.0   3.0   2:01.78 java
  34416 root      20   0 9226748 481216  29132 S  84.2   3.0   2:02.63 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   2:03.48 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:04.32 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   2:05.17 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:06.01 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:06.85 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   2:07.70 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:08.54 java
  34416 root      20   0 9226748 481216  29132 S  85.0   3.0   2:09.39 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:10.23 java
  34416 root      20   0 9226748 481216  29132 S  84.2   3.0   2:11.08 java
  34416 root      20   0 9226748 481216  29132 S  86.0   3.0   2:11.94 java
  34416 root      20   0 9226748 481216  29132 S  83.0   3.0   2:12.77 java
  34416 root      20   0 9226748 481216  29132 S  86.0   3.0   2:13.63 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:14.47 java
  34416 root      20   0 9226748 481216  29132 S  84.0   3.0   2:15.31 java
  34416 root      20   0 9226748 481336  29132 S  85.0   3.0   2:16.16 java
  34416 root      20   0 9226748 481336  29132 S  83.0   3.0   2:16.99 java
  34416 root      20   0 9226748 481336  29132 S  86.0   3.0   2:17.85 java
  34416 root      20   0 9226748 481336  29132 S  84.0   3.0   2:18.69 java
  34416 root      20   0 9226748 481336  29132 S  84.2   3.0   2:19.
