  40175 1001      20   0 1313196 337392  42484 S 126.7   2.1  31:16.04 application
  40175 1001      20   0 1314220 338184  42484 S 403.0   2.1  31:20.07 application
  40175 1001      20   0 1314220 338448  42484 S 400.0   2.1  31:24.07 application
  40175 1001      20   0 1314220 338712  42484 S 400.0   2.1  31:28.07 application
  40175 1001      20   0 1314220 338712  42484 S 400.0   2.1  31:32.07 application
  40175 1001      20   0 1314220 338712  42484 S 397.0   2.1  31:36.08 application
  40175 1001      20   0 1314220 338712  42484 S 400.0   2.1  31:40.08 application
  40175 1001      20   0 1315244 338712  42484 S 401.0   2.1  31:44.09 application
  40175 1001      20   0 1315244 338712  42484 S 401.0   2.1  31:48.10 application
  40175 1001      20   0 1315244 338712  42484 S 401.0   2.1  31:52.11 application
  40175 1001      20   0 1315244 338712  42484 S 400.0   2.1  31:56.11 application
  40175 1001      20   0 1315244 338712  42484 S 402.0   2.1  32:00.13 application
  40175 1001      20   0 1315244 338976  42484 S 397.0   2.1  32:04.14 application
  40175 1001      20   0 1315244 338976  42484 S 402.0   2.1  32:08.16 application
  40175 1001      20   0 1315244 338976  42484 S 400.0   2.1  32:12.16 application
  40175 1001      20   0 1315244 338976  42484 S 403.0   2.1  32:16.19 application
  40175 1001      20   0 1315244 339240  42484 S 400.0   2.1  32:20.19 application
  40175 1001      20   0 1315244 339240  42484 S 402.0   2.1  32:24.21 application
  40175 1001      20   0 1315244 339240  42484 S 400.0   2.1  32:28.21 application
  40175 1001      20   0 1315244 339240  42484 S 397.0   2.1  32:32.22 application
  40175 1001      20   0 1315244 339240  42484 S 402.0   2.1  32:36.24 application
  40175 1001      20   0 1315244 339240  42484 S 400.0   2.1  32:40.24 application
  40175 1001      20   0 1316268 339240  42484 S 400.0   2.1  32:44.24 application
  40175 1001      20   0 1316268 339240  42484 S 399.0   2.1  32:48.23 application
  40175 1001      20   0 1316268 339240  42484 S 402.0   2.1  32:52.25 application
  40175 1001      20   0 1316268 339240  42484 S 403.0   2.1  32:56.28 application
  40175 1001      20   0 1316268 339240  42484 S 401.0   2.1  33:00.29 application
  40175 1001      20   0 1316268 339504  42484 S 395.0   2.1  33:04.28 application
  40175 1001      20   0 1316268 339768  42484 S 400.0   2.1  33:08.28 application
  40175 1001      20   0 1316268 339768  42484 S 401.0   2.1  33:12.29 application
  40175 1001      20   0 1316268 339768  42484 S 403.0   2.1  33:16.32 application
  40175 1001      20   0 1316268 340032  42484 S 402.0   2.1  33:20.34 application
  40175 1001      20   0 1316268 340296  42484 S 398.0   2.1  33:24.32 application
  40175 1001      20   0 1316268 340560  42484 S 402.0   2.1  33:28.34 application
  40175 1001      20   0 1316268 340560  42484 S 400.0   2.1  33:32.38 application
  40175 1001      20   0 1316268 340560  42484 S 400.0   2.1  33:36.38 application
  40175 1001      20   0 1316268 340560  42484 S 398.0   2.1  33:40.36 application
  40175 1001      20   0 1317292 340560  42484 S 400.0   2.1  33:44.36 application
  40175 1001      20   0 1317292 340560  42484 S 401.0   2.1  33:48.37 application
  40175 1001      20   0 1317292 340560  42484 S 404.0   2.1  33:52.41 application
  40175 1001      20   0 1317292 340824  42484 S 398.0   2.1  33:56.39 application
  40175 1001      20   0 1317292 340824  42484 S 397.0   2.1  34:00.40 application
  40175 1001      20   0 1317292 340824  42484 S 400.0   2.1  34:04.40 application
  40175 1001      20   0 1317292 340824  42484 S 403.0   2.1  34:08.43 application
  40175 1001      20   0 1317292 340824  42484 S 400.0   2.1  34:12.43 application
  40175 1001      20   0 1317292 341088  42484 S 398.0   2.1  34:16.41 application
  40175 1001      20   0 1317292 341352  42484 S 405.0   2.1  34:20.46 application
  40175 1001      20   0 1317292 341352  42484 S 401.0   2.1  34:24.47 application
  40175 1001      20   0 1317292 341352  42484 S 399.0   2.1  34:28.46 application
  40175 1001      20   0 1317
