  16979 1001      20   0 1344936 369520  43036 S 206.7   2.3  54:55.40 application
  16979 1001      20   0 1345960 370312  43036 S 403.0   2.3  54:59.47 application
  16979 1001      20   0 1345960 370576  43036 S 401.0   2.3  55:03.48 application
  16979 1001      20   0 1345960 370576  43036 S 399.0   2.3  55:07.47 application
  16979 1001      20   0 1345960 370576  43036 S 401.0   2.3  55:11.48 application
  16979 1001      20   0 1345960 370576  43036 S 399.0   2.3  55:15.47 application
  16979 1001      20   0 1345960 370576  43036 S 400.0   2.3  55:19.47 application
  16979 1001      20   0 1345960 371104  43036 S 400.0   2.3  55:23.47 application
  16979 1001      20   0 1346984 371104  43036 S 397.0   2.3  55:27.48 application
  16979 1001      20   0 1346984 371104  43036 S 400.0   2.3  55:31.48 application
  16979 1001      20   0 1346984 371104  43036 S 401.0   2.3  55:35.49 application
  16979 1001      20   0 1346984 371368  43036 S 401.0   2.3  55:39.50 application
  16979 1001      20   0 1346984 371632  43036 S 400.0   2.3  55:43.50 application
  16979 1001      20   0 1346984 371632  43036 S 402.0   2.3  55:47.52 application
  16979 1001      20   0 1346984 371632  43036 S 400.0   2.3  55:51.52 application
  16979 1001      20   0 1346984 371632  43036 S 401.0   2.3  55:55.53 application
  16979 1001      20   0 1346984 371632  43036 S 401.0   2.3  55:59.54 application
  16979 1001      20   0 1346984 371632  43036 S 397.0   2.3  56:03.55 application
  16979 1001      20   0 1346984 371896  43036 S 401.0   2.3  56:07.56 application
  16979 1001      20   0 1346984 371896  43036 S 401.0   2.3  56:11.57 application
  16979 1001      20   0 1348008 371896  43036 S 401.0   2.3  56:15.58 application
  16979 1001      20   0 1348008 372424  43036 S 400.0   2.3  56:19.58 application
  16979 1001      20   0 1348008 372424  43036 S 402.0   2.3  56:23.60 application
  16979 1001      20   0 1348008 372424  43036 S 402.0   2.3  56:27.62 application
  16979 1001      20   0 1348008 372424  43036 S 395.0   2.3  56:31.61 application
  16979 1001      20   0 1348008 372424  43036 S 402.0   2.3  56:35.63 application
  16979 1001      20   0 1348008 372424  43036 S 400.0   2.3  56:39.63 application
  16979 1001      20   0 1348008 372424  43036 S 401.0   2.3  56:43.64 application
  16979 1001      20   0 1348008 372424  43036 S 401.0   2.3  56:47.65 application
  16979 1001      20   0 1348008 372424  43036 S 400.0   2.3  56:51.65 application
  16979 1001      20   0 1348008 372424  43036 S 404.0   2.3  56:55.69 application
  16979 1001      20   0 1349032 372424  43036 S 398.0   2.3  56:59.67 application
  16979 1001      20   0 1349032 372424  43036 S 399.0   2.3  57:03.70 application
  16979 1001      20   0 1349032 372688  43036 S 397.0   2.3  57:07.67 application
  16979 1001      20   0 1349032 372688  43036 S 404.0   2.3  57:11.71 application
  16979 1001      20   0 1349032 372952  43036 S 399.0   2.3  57:15.70 application
  16979 1001      20   0 1349032 372952  43036 S 403.0   2.3  57:19.73 application
  16979 1001      20   0 1349032 373480  43036 S 399.0   2.3  57:23.72 application
  16979 1001      20   0 1349032 373480  43036 S 401.0   2.3  57:27.73 application
  16979 1001      20   0 1349032 374008  43036 S 404.0   2.3  57:31.77 application
  16979 1001      20   0 1349032 374008  43036 S 394.1   2.3  57:35.75 application
  16979 1001      20   0 1349032 374008  43036 S 401.0   2.3  57:39.76 application
  16979 1001      20   0 1349032 374008  43036 S 402.0   2.3  57:43.78 application
  16979 1001      20   0 1349032 374008  43036 S 402.0   2.3  57:47.80 application
  16979 1001      20   0 1350056 374008  43036 S 397.0   2.3  57:51.77 application
  16979 1001      20   0 1350056 374008  43036 S 403.0   2.3  57:55.80 application
  16979 1001      20   0 1350056 374008  43036 S 402.0   2.3  57:59.82 application
  16979 1001      20   0 1350056 374272  43036 S 397.0   2.3  58:03.83 application
  16979 1001      20   0 1350056 374272  43036 S 400.0   2.3  58:07.83 application
  16979 1001      20   0 1350
