  14881 1001      20   0 3221228 480340  43824 S 246.7   2.9  89:45.04 application
  14881 1001      20   0 3222252 480604  43824 S 409.0   2.9  89:49.13 application
  14881 1001      20   0 3222252 480868  43824 S 402.0   2.9  89:53.15 application
  14881 1001      20   0 3222252 481132  43824 S 401.0   2.9  89:57.16 application
  14881 1001      20   0 3222252 481132  43824 S 407.0   2.9  90:01.23 application
  14881 1001      20   0 3222252 481132  43824 S 398.0   2.9  90:05.25 application
  14881 1001      20   0 3222252 481132  43824 S 391.0   2.9  90:09.16 application
  14881 1001      20   0 3222252 481132  43824 S 406.0   2.9  90:13.22 application
  14881 1001      20   0 3222252 481132  43824 S 404.0   2.9  90:17.26 application
  14881 1001      20   0 3223276 481396  43824 S 394.0   2.9  90:21.20 application
  14881 1001      20   0 3223276 481396  43824 S 409.0   2.9  90:25.29 application
  14881 1001      20   0 3223276 481396  43824 S 400.0   2.9  90:29.29 application
  14881 1001      20   0 3223276 481396  43824 S 400.0   2.9  90:33.29 application
  14881 1001      20   0 3223276 481396  43824 S 394.0   2.9  90:37.23 application
  14881 1001      20   0 3223276 481396  43824 S 399.0   2.9  90:41.22 application
  14881 1001      20   0 3223276 481396  43824 S 402.0   2.9  90:45.28 application
  14881 1001      20   0 3224300 481660  43824 S 399.0   2.9  90:49.27 application
  14881 1001      20   0 3224300 481660  43824 S 404.0   2.9  90:53.31 application
  14881 1001      20   0 3224300 481660  43824 S 400.0   2.9  90:57.31 application
  14881 1001      20   0 3224300 481660  43824 S 400.0   2.9  91:01.31 application
  14881 1001      20   0 3224300 481924  43824 S 400.0   2.9  91:05.31 application
  14881 1001      20   0 3224300 482188  43824 S 400.0   2.9  91:09.31 application
  14881 1001      20   0 3224300 482188  43824 S 400.0   2.9  91:13.31 application
  14881 1001      20   0 3225324 482716  43824 S 400.0   2.9  91:17.31 application
  14881 1001      20   0 3225324 482716  43824 S 401.0   2.9  91:21.32 application
  14881 1001      20   0 3225324 482716  43824 S 395.0   2.9  91:25.31 application
  14881 1001      20   0 3225324 482980  43824 S 400.0   2.9  91:29.31 application
  14881 1001      20   0 3225324 482980  43824 S 400.0   2.9  91:33.31 application
  14881 1001      20   0 3225324 482980  43824 S 400.0   2.9  91:37.31 application
  14881 1001      20   0 3225324 483508  43824 S 400.0   3.0  91:41.31 application
  14881 1001      20   0 3225324 483508  43824 S 400.0   3.0  91:45.31 application
  14881 1001      20   0 3225324 483508  43824 S 400.0   3.0  91:49.31 application
  14881 1001      20   0 3226348 484036  43824 S 400.0   3.0  91:53.31 application
  14881 1001      20   0 3226348 484036  43824 S 396.0   3.0  91:57.31 application
  14881 1001      20   0 3226348 484300  43824 S 400.0   3.0  92:01.31 application
  14881 1001      20   0 3226348 484300  43824 S 400.0   3.0  92:05.31 application
  14881 1001      20   0 3226348 484300  43824 S 400.0   3.0  92:09.31 application
  14881 1001      20   0 3226348 484564  43824 S 400.0   3.0  92:13.31 application
  14881 1001      20   0 3226348 484564  43824 S 400.0   3.0  92:17.31 application
  14881 1001      20   0 3226348 484564  43824 S 400.0   3.0  92:21.31 application
  14881 1001      20   0 3227372 484564  43824 S 400.0   3.0  92:25.31 application
  14881 1001      20   0 3227372 485092  43824 S 396.0   3.0  92:29.31 application
  14881 1001      20   0 3227372 485356  43824 S 400.0   3.0  92:33.31 application
  14881 1001      20   0 3227372 485356  43824 S 400.0   3.0  92:37.31 application
  14881 1001      20   0 3227372 485356  43824 S 400.0   3.0  92:41.31 application
  14881 1001      20   0 3227372 485884  43824 S 400.0   3.0  92:45.31 application
  14881 1001      20   0 3227372 486412  43824 S 400.0   3.0  92:49.31 application
  14881 1001      20   0 3227372 486412  43824 S 400.0   3.0  92:53.31 application
  14881 1001      20   0 3228396 486412  43824 S 396.0   3.0  92:57.31 application
  14881 1001      20   0 3228
