  15954 1001      20   0 3087084 346004  43692 S 126.7   2.1  17:24.37 application
  15954 1001      20   0 3087084 346268  43692 S 407.0   2.1  17:28.44 application
  15954 1001      20   0 3087084 346268  43692 S 396.0   2.1  17:32.44 application
  15954 1001      20   0 3088108 346532  43692 S 399.0   2.1  17:36.43 application
  15954 1001      20   0 3088108 346532  43692 S 401.0   2.1  17:40.44 application
  15954 1001      20   0 3088108 346796  43692 S 400.0   2.1  17:44.44 application
  15954 1001      20   0 3088108 346796  43692 S 400.0   2.1  17:48.44 application
  15954 1001      20   0 3088108 347060  43692 S 400.0   2.1  17:52.44 application
  15954 1001      20   0 3088108 347060  43692 S 400.0   2.1  17:56.44 application
  15954 1001      20   0 3088108 347060  43692 S 396.0   2.1  18:00.44 application
  15954 1001      20   0 3088108 347060  43692 S 402.0   2.1  18:04.46 application
  15954 1001      20   0 3088108 347060  43692 S 400.0   2.1  18:08.46 application
  15954 1001      20   0 3088108 347060  43692 S 401.0   2.1  18:12.47 application
  15954 1001      20   0 3089132 347060  43692 S 401.0   2.1  18:16.48 application
  15954 1001      20   0 3089132 347324  43692 S 402.0   2.1  18:20.50 application
  15954 1001      20   0 3089132 347324  43692 S 400.0   2.1  18:24.50 application
  15954 1001      20   0 3089132 347324  43692 S 401.0   2.1  18:28.51 application
  15954 1001      20   0 3089132 347588  43692 S 399.0   2.1  18:32.50 application
  15954 1001      20   0 3089132 347588  43692 S 397.0   2.1  18:36.51 application
  15954 1001      20   0 3089132 347588  43692 S 399.0   2.1  18:40.50 application
  15954 1001      20   0 3089132 347588  43692 S 402.0   2.1  18:44.52 application
  15954 1001      20   0 3089132 347588  43692 S 403.0   2.1  18:48.55 application
  15954 1001      20   0 3089132 347588  43692 S 400.0   2.1  18:52.55 application
  15954 1001      20   0 3089132 347852  43692 S 407.0   2.1  18:56.62 application
  15954 1001      20   0 3090156 347852  43692 S 397.0   2.1  19:00.59 application
  15954 1001      20   0 3090156 347852  43692 S 405.0   2.1  19:04.64 application
  15954 1001      20   0 3090156 347852  43692 S 401.0   2.1  19:08.65 application
  15954 1001      20   0 3090156 347852  43692 S 399.0   2.1  19:12.64 application
  15954 1001      20   0 3090156 347852  43692 S 393.0   2.1  19:16.57 application
  15954 1001      20   0 3090156 347852  43692 S 403.0   2.1  19:20.64 application
  15954 1001      20   0 3090156 348116  43692 S 403.0   2.1  19:24.67 application
  15954 1001      20   0 3090156 348116  43692 S 396.0   2.1  19:28.63 application
  15954 1001      20   0 3090156 348116  43692 S 404.0   2.1  19:32.67 application
  15954 1001      20   0 3090156 348116  43692 S 404.0   2.1  19:36.71 application
  15954 1001      20   0 3090156 348116  43692 S 393.0   2.1  19:40.64 application
  15954 1001      20   0 3090156 348644  43692 S 406.0   2.1  19:44.70 application
  15954 1001      20   0 3091180 348644  43692 S 402.0   2.1  19:48.72 application
  15954 1001      20   0 3091180 348908  43692 S 394.0   2.1  19:52.66 application
  15954 1001      20   0 3091180 348908  43692 S 406.0   2.1  19:56.72 application
  15954 1001      20   0 3091180 348908  43692 S 396.0   2.1  20:00.72 application
  15954 1001      20   0 3091180 349172  43692 S 403.0   2.1  20:04.75 application
  15954 1001      20   0 3091180 349436  43692 S 398.0   2.1  20:08.73 application
  15954 1001      20   0 3091180 349700  43692 S 396.0   2.1  20:12.69 application
  15954 1001      20   0 3091180 349700  43692 S 405.0   2.1  20:16.74 application
  15954 1001      20   0 3091180 349700  43692 S 401.0   2.1  20:20.75 application
  15954 1001      20   0 3091180 349964  43692 S 401.0   2.1  20:24.76 application
  15954 1001      20   0 3091180 349964  43692 S 401.0   2.1  20:28.77 application
  15954 1001      20   0 3092204 350228  43692 S 398.0   2.1  20:32.75 application
  15954 1001      20   0 3092204 350492  43692 S 399.0   2.1  20:36.74 application
  15954 1001      20   0 3092
