  47280 1001      20   0 1288616 312876  42580 S   0.0   1.9   1:57.11 application
  47280 1001      20   0 1288616 312876  42580 S 185.0   1.9   1:58.96 application
  47280 1001      20   0 1289640 312876  42580 S 194.0   1.9   2:00.90 application
  47280 1001      20   0 1289640 312876  42580 S 193.0   1.9   2:02.83 application
  47280 1001      20   0 1289640 312876  42580 S 198.0   1.9   2:04.81 application
  47280 1001      20   0 1289640 312876  42580 S 196.0   1.9   2:06.77 application
  47280 1001      20   0 1289640 312876  42580 S 195.0   1.9   2:08.74 application
  47280 1001      20   0 1289640 312876  42580 S 199.0   1.9   2:10.73 application
  47280 1001      20   0 1289640 313320  42772 S 197.0   1.9   2:12.70 application
  47280 1001      20   0 1289640 313320  42772 S 198.0   1.9   2:14.68 application
  47280 1001      20   0 1289640 313320  42772 S 195.0   1.9   2:16.63 application
  47280 1001      20   0 1289640 313320  42772 S 196.0   1.9   2:18.59 application
  47280 1001      20   0 1289640 313320  42772 S 196.0   1.9   2:20.57 application
  47280 1001      20   0 1289640 313320  42772 S 198.0   1.9   2:22.55 application
  47280 1001      20   0 1289640 313320  42772 S 195.0   1.9   2:24.50 application
  47280 1001      20   0 1289640 313320  42772 S 198.0   1.9   2:26.48 application
  47280 1001      20   0 1289640 313640  42832 S 199.0   1.9   2:28.47 application
  47280 1001      20   0 1289640 313640  42832 S 195.0   1.9   2:30.42 application
  47280 1001      20   0 1289640 313640  42832 S 194.0   1.9   2:32.36 application
  47280 1001      20   0 1289640 313904  42832 S 195.0   1.9   2:34.31 application
  47280 1001      20   0 1289640 313904  42832 S 196.0   1.9   2:36.29 application
  47280 1001      20   0 1289640 314168  42832 S 197.0   1.9   2:38.26 application
  47280 1001      20   0 1289640 314168  42832 S 198.0   1.9   2:40.24 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   2:42.18 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   2:44.13 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   2:46.08 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   2:48.02 application
  47280 1001      20   0 1289640 314168  42832 S 189.1   1.9   2:49.93 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   2:51.87 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   2:53.81 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   2:55.75 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   2:57.69 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   2:59.64 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   3:01.59 application
  47280 1001      20   0 1289640 314168  42832 S 197.0   1.9   3:03.56 application
  47280 1001      20   0 1289640 314168  42832 S 201.0   1.9   3:05.57 application
  47280 1001      20   0 1289640 314168  42832 S 197.0   1.9   3:07.54 application
  47280 1001      20   0 1289640 314168  42832 S 192.1   1.9   3:09.48 application
  47280 1001      20   0 1289640 314168  42832 S 194.0   1.9   3:11.42 application
  47280 1001      20   0 1289640 314168  42832 S 198.0   1.9   3:13.40 application
  47280 1001      20   0 1289640 314168  42832 S 197.0   1.9   3:15.37 application
  47280 1001      20   0 1289640 314168  42832 S 197.0   1.9   3:17.34 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   3:19.29 application
  47280 1001      20   0 1289640 314168  42832 S 196.0   1.9   3:21.25 application
  47280 1001      20   0 1289640 314168  42832 S 198.0   1.9   3:23.23 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   3:25.18 application
  47280 1001      20   0 1289640 314168  42832 S 195.0   1.9   3:27.15 application
  47280 1001      20   0 1289640 314168  42832 S 198.0   1.9   3:29.13 application
  47280 1001      20   0 1289640 314432  42832 S 197.0   1.9   3:31.10 application
  47280 1001      20   0 1289
