  27320 1001      20   0 1305004 329576  42972 S 120.0   2.0  23:13.64 application
  27320 1001      20   0 1305004 329840  42972 S 416.0   2.0  23:17.80 application
  27320 1001      20   0 1305004 329840  42972 S 397.0   2.0  23:21.77 application
  27320 1001      20   0 1305004 329840  42972 S 397.0   2.0  23:25.78 application
  27320 1001      20   0 1305004 329840  42972 S 401.0   2.0  23:29.79 application
  27320 1001      20   0 1305004 329840  42972 S 402.0   2.0  23:33.81 application
  27320 1001      20   0 1305004 329840  42972 S 400.0   2.0  23:37.81 application
  27320 1001      20   0 1305004 329840  42972 S 400.0   2.0  23:41.81 application
  27320 1001      20   0 1305004 329840  42972 S 395.0   2.0  23:45.76 application
  27320 1001      20   0 1305004 329840  42972 S 403.0   2.0  23:49.79 application
  27320 1001      20   0 1305004 329840  42972 S 400.0   2.0  23:53.79 application
  27320 1001      20   0 1306028 329840  42972 S 399.0   2.0  23:57.82 application
  27320 1001      20   0 1306028 329840  42972 S 402.0   2.0  24:01.84 application
  27320 1001      20   0 1306028 329840  42972 S 403.0   2.0  24:05.87 application
  27320 1001      20   0 1306028 329840  42972 S 398.0   2.0  24:09.85 application
  27320 1001      20   0 1306028 329840  42972 S 402.0   2.0  24:13.87 application
  27320 1001      20   0 1306028 329840  42972 S 398.0   2.0  24:17.85 application
  27320 1001      20   0 1306028 329840  42972 S 403.0   2.0  24:21.88 application
  27320 1001      20   0 1306028 330632  42972 S 399.0   2.0  24:25.87 application
  27320 1001      20   0 1306028 330632  42972 S 394.1   2.0  24:29.85 application
  27320 1001      20   0 1306028 330632  42972 S 399.0   2.0  24:33.84 application
  27320 1001      20   0 1306028 330632  42972 S 404.0   2.0  24:37.88 application
  27320 1001      20   0 1306028 330632  42972 S 400.0   2.0  24:41.88 application
  27320 1001      20   0 1306028 330632  42972 S 400.0   2.0  24:45.88 application
  27320 1001      20   0 1306028 330632  42972 S 399.0   2.0  24:49.87 application
  27320 1001      20   0 1306028 330632  42972 S 401.0   2.0  24:53.88 application
  27320 1001      20   0 1306028 330632  42972 S 400.0   2.0  24:57.88 application
  27320 1001      20   0 1306028 330632  42972 S 396.0   2.0  25:01.88 application
  27320 1001      20   0 1306028 330896  42972 S 401.0   2.0  25:05.89 application
  27320 1001      20   0 1306028 330896  42972 S 399.0   2.0  25:09.88 application
  27320 1001      20   0 1307052 330896  42972 S 401.0   2.0  25:13.89 application
  27320 1001      20   0 1307052 331160  42972 S 399.0   2.0  25:17.88 application
  27320 1001      20   0 1307052 331160  42972 S 401.0   2.0  25:21.89 application
  27320 1001      20   0 1307052 331160  42972 S 400.0   2.0  25:25.89 application
  27320 1001      20   0 1307052 331160  42972 S 400.0   2.0  25:29.89 application
  27320 1001      20   0 1307052 331160  42972 S 396.0   2.0  25:33.89 application
  27320 1001      20   0 1307052 331160  42972 S 399.0   2.0  25:37.88 application
  27320 1001      20   0 1307052 331160  42972 S 401.0   2.0  25:41.89 application
  27320 1001      20   0 1307052 331160  42972 S 399.0   2.0  25:45.88 application
  27320 1001      20   0 1307052 331160  42972 S 401.0   2.0  25:49.89 application
  27320 1001      20   0 1307052 331160  42972 S 399.0   2.0  25:53.88 application
  27320 1001      20   0 1307052 331160  42972 S 401.0   2.0  25:57.89 application
  27320 1001      20   0 1307052 331160  42972 S 399.0   2.0  26:01.88 application
  27320 1001      20   0 1307052 331160  42972 S 396.0   2.0  26:05.88 application
  27320 1001      20   0 1307052 331160  42972 S 401.0   2.0  26:09.89 application
  27320 1001      20   0 1307052 331160  42972 S 401.0   2.0  26:13.90 application
  27320 1001      20   0 1307052 331160  42972 S 402.0   2.0  26:17.92 application
  27320 1001      20   0 1307052 331424  42972 S 400.0   2.0  26:21.92 application
  27320 1001      20   0 1307052 331424  42972 S 402.0   2.0  26:25.94 application
  27320 1001      20   0 1307
