  27320 1001      20   0 1297836 322712  42972 S 100.0   2.0  15:29.45 application
  27320 1001      20   0 1298860 323240  42972 S 373.0   2.0  15:33.18 application
  27320 1001      20   0 1298860 323240  42972 S 374.0   2.0  15:36.92 application
  27320 1001      20   0 1298860 323240  42972 S 371.3   2.0  15:40.67 application
  27320 1001      20   0 1298860 323504  42972 S 373.0   2.0  15:44.40 application
  27320 1001      20   0 1298860 323504  42972 S 381.0   2.0  15:48.21 application
  27320 1001      20   0 1298860 323504  42972 S 375.0   2.0  15:51.96 application
  27320 1001      20   0 1298860 323504  42972 S 375.0   2.0  15:55.71 application
  27320 1001      20   0 1298860 323504  42972 S 376.0   2.0  15:59.47 application
  27320 1001      20   0 1298860 323504  42972 S 373.0   2.0  16:03.20 application
  27320 1001      20   0 1298860 323504  42972 S 374.0   2.0  16:06.94 application
  27320 1001      20   0 1298860 323504  42972 S 374.3   2.0  16:10.72 application
  27320 1001      20   0 1298860 323504  42972 S 373.0   2.0  16:14.45 application
  27320 1001      20   0 1298860 323504  42972 S 372.0   2.0  16:18.17 application
  27320 1001      20   0 1298860 323504  42972 S 371.0   2.0  16:21.88 application
  27320 1001      20   0 1298860 323504  42972 S 371.0   2.0  16:25.59 application
  27320 1001      20   0 1298860 323504  42972 S 373.0   2.0  16:29.32 application
  27320 1001      20   0 1298860 323504  42972 S 372.0   2.0  16:33.04 application
  27320 1001      20   0 1298860 323504  42972 S 372.3   2.0  16:36.80 application
  27320 1001      20   0 1299884 323504  42972 S 373.0   2.0  16:40.53 application
  27320 1001      20   0 1299884 323504  42972 S 372.0   2.0  16:44.25 application
  27320 1001      20   0 1299884 323768  42972 S 374.0   2.0  16:47.99 application
  27320 1001      20   0 1299884 324032  42972 S 374.0   2.0  16:51.73 application
  27320 1001      20   0 1299884 324032  42972 S 371.0   2.0  16:55.44 application
  27320 1001      20   0 1299884 324032  42972 S 373.0   2.0  16:59.17 application
  27320 1001      20   0 1299884 324032  42972 S 377.0   2.0  17:02.94 application
  27320 1001      20   0 1299884 324032  42972 S 383.0   2.0  17:06.77 application
  27320 1001      20   0 1299884 324032  42972 S 372.3   2.0  17:10.53 application
  27320 1001      20   0 1299884 324032  42972 S 380.0   2.0  17:14.33 application
  27320 1001      20   0 1299884 324032  42972 S 377.0   2.0  17:18.10 application
  27320 1001      20   0 1299884 324032  42972 S 373.0   2.0  17:21.83 application
  27320 1001      20   0 1299884 324032  42972 S 377.0   2.0  17:25.60 application
  27320 1001      20   0 1299884 324032  42972 S 365.0   2.0  17:29.25 application
  27320 1001      20   0 1299884 324032  42972 S 370.0   2.0  17:32.95 application
  27320 1001      20   0 1299884 324032  42972 S 379.0   2.0  17:36.74 application
  27320 1001      20   0 1299884 324032  42972 S 372.0   2.0  17:40.46 application
  27320 1001      20   0 1299884 324032  42972 S 371.3   2.0  17:44.21 application
  27320 1001      20   0 1299884 324032  42972 S 369.0   2.0  17:47.90 application
  27320 1001      20   0 1299884 324032  42972 S 372.0   2.0  17:51.62 application
  27320 1001      20   0 1299884 324032  42972 S 372.0   2.0  17:55.34 application
  27320 1001      20   0 1299884 324032  42972 S 371.0   2.0  17:59.05 application
  27320 1001      20   0 1299884 324032  42972 S 370.0   2.0  18:02.75 application
  27320 1001      20   0 1299884 324296  42972 S 373.0   2.0  18:06.48 application
  27320 1001      20   0 1299884 324296  42972 S 372.3   2.0  18:10.24 application
  27320 1001      20   0 1299884 324296  42972 S 377.0   2.0  18:14.01 application
  27320 1001      20   0 1299884 324296  42972 S 375.0   2.0  18:17.76 application
  27320 1001      20   0 1299884 324560  42972 S 376.0   2.0  18:21.52 application
  27320 1001      20   0 1299884 324824  42972 S 375.0   2.0  18:25.27 application
  27320 1001      20   0 1299884 324824  42972 S 374.0   2.0  18:29.01 application
  27320 1001      20   0 1299
