   7572 1001      20   0 1334700 359068  42900 S 160.0   2.2  47:22.35 application
   7572 1001      20   0 1335724 359596  42900 S 416.0   2.2  47:26.51 application
   7572 1001      20   0 1335724 359596  42900 S 398.0   2.2  47:30.49 application
   7572 1001      20   0 1335724 359596  42900 S 403.0   2.2  47:34.52 application
   7572 1001      20   0 1335724 359596  42900 S 396.0   2.2  47:38.52 application
   7572 1001      20   0 1335724 360124  42900 S 401.0   2.2  47:42.53 application
   7572 1001      20   0 1335724 360124  42900 S 401.0   2.2  47:46.54 application
   7572 1001      20   0 1335724 360124  42900 S 402.0   2.2  47:50.56 application
   7572 1001      20   0 1335724 360124  42900 S 400.0   2.2  47:54.56 application
   7572 1001      20   0 1335724 360388  42900 S 402.0   2.2  47:58.58 application
   7572 1001      20   0 1335724 360388  42900 S 401.0   2.2  48:02.59 application
   7572 1001      20   0 1335724 360388  42900 S 400.0   2.2  48:06.59 application
   7572 1001      20   0 1336748 360388  42900 S 397.0   2.2  48:10.56 application
   7572 1001      20   0 1337772 361444  42900 S 398.0   2.2  48:14.58 application
   7572 1001      20   0 1337772 361444  42900 S 400.0   2.2  48:18.58 application
   7572 1001      20   0 1337772 361444  42900 S 401.0   2.2  48:22.59 application
   7572 1001      20   0 1337772 361708  42900 S 400.0   2.2  48:26.59 application
   7572 1001      20   0 1337772 361972  42900 S 400.0   2.2  48:30.59 application
   7572 1001      20   0 1337772 361972  42900 S 400.0   2.2  48:34.59 application
   7572 1001      20   0 1337772 362236  42900 S 400.0   2.2  48:38.59 application
   7572 1001      20   0 1337772 362236  42900 S 400.0   2.2  48:42.59 application
   7572 1001      20   0 1337772 362236  42900 S 395.0   2.2  48:46.58 application
   7572 1001      20   0 1337772 362764  42900 S 401.0   2.2  48:50.59 application
   7572 1001      20   0 1337772 362764  42900 S 400.0   2.2  48:54.59 application
   7572 1001      20   0 1337772 362764  42900 S 399.0   2.2  48:58.58 application
   7572 1001      20   0 1337772 362764  42900 S 401.0   2.2  49:02.59 application
   7572 1001      20   0 1337772 362764  42900 S 400.0   2.2  49:06.59 application
   7572 1001      20   0 1337772 362764  42900 S 400.0   2.2  49:10.59 application
   7572 1001      20   0 1337772 362764  42900 S 399.0   2.2  49:14.58 application
   7572 1001      20   0 1337772 362764  42900 S 397.0   2.2  49:18.59 application
   7572 1001      20   0 1337772 362764  42900 S 399.0   2.2  49:22.58 application
   7572 1001      20   0 1337772 362764  42900 S 401.0   2.2  49:26.59 application
   7572 1001      20   0 1337772 362764  42900 S 399.0   2.2  49:30.58 application
   7572 1001      20   0 1337772 362764  42900 S 400.0   2.2  49:34.58 application
   7572 1001      20   0 1337772 362764  42900 S 400.0   2.2  49:38.58 application
   7572 1001      20   0 1338796 362764  42900 S 401.0   2.2  49:42.59 application
   7572 1001      20   0 1338796 362764  42900 S 399.0   2.2  49:46.58 application
   7572 1001      20   0 1338796 362764  42900 S 397.0   2.2  49:50.59 application
   7572 1001      20   0 1338796 362764  42900 S 400.0   2.2  49:54.59 application
   7572 1001      20   0 1338796 363028  42900 S 400.0   2.2  49:58.59 application
   7572 1001      20   0 1338796 363028  42900 S 400.0   2.2  50:02.59 application
   7572 1001      20   0 1338796 363028  42900 S 399.0   2.2  50:06.58 application
   7572 1001      20   0 1338796 363028  42900 S 401.0   2.2  50:10.59 application
   7572 1001      20   0 1338796 363556  42900 S 400.0   2.2  50:14.59 application
   7572 1001      20   0 1338796 363820  42900 S 400.0   2.2  50:18.59 application
   7572 1001      20   0 1338796 363820  42900 S 400.0   2.2  50:22.59 application
   7572 1001      20   0 1338796 363820  42900 S 396.0   2.2  50:26.59 application
   7572 1001      20   0 1339820 363820  42900 S 401.0   2.2  50:30.60 application
   7572 1001      20   0 1339820 363820  42900 S 400.0   2.2  50:34.60 application
   7572 1001      20   0 1339
