  18273 1001      20   0 1300908 325272  42904 S   0.0   2.0  19:25.03 application
  18273 1001      20   0 1301932 326064  42904 S 386.0   2.0  19:28.89 application
  18273 1001      20   0 1301932 326328  42904 S 400.0   2.0  19:32.89 application
  18273 1001      20   0 1301932 326328  42904 S 396.0   2.0  19:36.89 application
  18273 1001      20   0 1301932 326328  42904 S 400.0   2.0  19:40.89 application
  18273 1001      20   0 1301932 326592  42904 S 400.0   2.0  19:44.89 application
  18273 1001      20   0 1301932 326856  42904 S 400.0   2.0  19:48.89 application
  18273 1001      20   0 1301932 326856  42904 S 400.0   2.0  19:52.89 application
  18273 1001      20   0 1301932 326856  42904 S 400.0   2.0  19:56.89 application
  18273 1001      20   0 1301932 326856  42904 S 400.0   2.0  20:00.89 application
  18273 1001      20   0 1302956 326856  42904 S 400.0   2.0  20:04.89 application
  18273 1001      20   0 1302956 326856  42904 S 396.0   2.0  20:08.89 application
  18273 1001      20   0 1302956 326856  42904 S 400.0   2.0  20:12.89 application
  18273 1001      20   0 1302956 326856  42904 S 402.0   2.0  20:16.91 application
  18273 1001      20   0 1302956 326856  42904 S 401.0   2.0  20:20.92 application
  18273 1001      20   0 1302956 326856  42904 S 402.0   2.0  20:24.94 application
  18273 1001      20   0 1302956 326856  42904 S 401.0   2.0  20:28.95 application
  18273 1001      20   0 1302956 326856  42904 S 401.0   2.0  20:32.96 application
  18273 1001      20   0 1302956 326856  42904 S 396.0   2.0  20:36.96 application
  18273 1001      20   0 1302956 327120  42904 S 400.0   2.0  20:40.96 application
  18273 1001      20   0 1302956 327120  42904 S 402.0   2.0  20:44.98 application
  18273 1001      20   0 1302956 327120  42904 S 401.0   2.0  20:48.99 application
  18273 1001      20   0 1302956 327384  42904 S 402.0   2.0  20:53.01 application
  18273 1001      20   0 1302956 327384  42904 S 400.0   2.0  20:57.01 application
  18273 1001      20   0 1302956 327384  42904 S 401.0   2.0  21:01.02 application
  18273 1001      20   0 1302956 327384  42904 S 401.0   2.0  21:05.03 application
  18273 1001      20   0 1302956 327384  42904 S 397.0   2.0  21:09.04 application
  18273 1001      20   0 1302956 327384  42904 S 401.0   2.0  21:13.05 application
  18273 1001      20   0 1302956 327384  42904 S 399.0   2.0  21:17.04 application
  18273 1001      20   0 1303980 327384  42904 S 403.0   2.0  21:21.07 application
  18273 1001      20   0 1303980 327648  42904 S 401.0   2.0  21:25.08 application
  18273 1001      20   0 1303980 327648  42904 S 398.0   2.0  21:29.06 application
  18273 1001      20   0 1303980 327648  42904 S 403.0   2.0  21:33.09 application
  18273 1001      20   0 1303980 327648  42904 S 397.0   2.0  21:37.10 application
  18273 1001      20   0 1303980 327648  42904 S 401.0   2.0  21:41.11 application
  18273 1001      20   0 1303980 327912  42904 S 401.0   2.0  21:45.12 application
  18273 1001      20   0 1303980 328176  42904 S 400.0   2.0  21:49.12 application
  18273 1001      20   0 1303980 328440  42904 S 402.0   2.0  21:53.14 application
  18273 1001      20   0 1303980 328440  42904 S 401.0   2.0  21:57.15 application
  18273 1001      20   0 1303980 328440  42904 S 399.0   2.0  22:01.14 application
  18273 1001      20   0 1303980 328440  42904 S 399.0   2.0  22:05.17 application
  18273 1001      20   0 1303980 328440  42904 S 398.0   2.0  22:09.15 application
  18273 1001      20   0 1303980 328704  42904 S 404.0   2.0  22:13.19 application
  18273 1001      20   0 1303980 328704  42904 S 400.0   2.0  22:17.19 application
  18273 1001      20   0 1303980 328968  42904 S 401.0   2.0  22:21.20 application
  18273 1001      20   0 1303980 328968  42904 S 400.0   2.0  22:25.20 application
  18273 1001      20   0 1303980 328968  42904 S 396.0   2.0  22:29.20 application
  18273 1001      20   0 1305004 328968  42904 S 401.0   2.0  22:33.21 application
  18273 1001      20   0 1305004 328968  42904 S 401.0   2.0  22:37.22 application
  18273 1001      20   0 1305
