   7572 1001      20   0 1314220 338212  42900 S 113.3   2.1  31:22.57 application
   7572 1001      20   0 1314220 338740  42900 S 407.0   2.1  31:26.64 application
   7572 1001      20   0 1314220 338740  42900 S 397.0   2.1  31:30.65 application
   7572 1001      20   0 1314220 339004  42900 S 400.0   2.1  31:34.65 application
   7572 1001      20   0 1314220 339004  42900 S 400.0   2.1  31:38.65 application
   7572 1001      20   0 1314220 339268  42900 S 400.0   2.1  31:42.65 application
   7572 1001      20   0 1314220 339268  42900 S 399.0   2.1  31:46.64 application
   7572 1001      20   0 1315244 339268  42900 S 400.0   2.1  31:50.64 application
   7572 1001      20   0 1315244 339268  42900 S 401.0   2.1  31:54.65 application
   7572 1001      20   0 1315244 339268  42900 S 399.0   2.1  31:58.64 application
   7572 1001      20   0 1315244 339268  42900 S 397.0   2.1  32:02.65 application
   7572 1001      20   0 1315244 339532  42900 S 401.0   2.1  32:06.66 application
   7572 1001      20   0 1315244 339532  42900 S 401.0   2.1  32:10.67 application
   7572 1001      20   0 1315244 339532  42900 S 400.0   2.1  32:14.67 application
   7572 1001      20   0 1315244 339532  42900 S 401.0   2.1  32:18.68 application
   7572 1001      20   0 1315244 339532  42900 S 401.0   2.1  32:22.69 application
   7572 1001      20   0 1315244 339532  42900 S 401.0   2.1  32:26.70 application
   7572 1001      20   0 1315244 339796  42900 S 399.0   2.1  32:30.69 application
   7572 1001      20   0 1315244 339796  42900 S 401.0   2.1  32:34.70 application
   7572 1001      20   0 1315244 339796  42900 S 397.0   2.1  32:38.71 application
   7572 1001      20   0 1315244 339796  42900 S 402.0   2.1  32:42.73 application
   7572 1001      20   0 1316268 339796  42900 S 402.0   2.1  32:46.75 application
   7572 1001      20   0 1316268 339796  42900 S 400.0   2.1  32:50.75 application
   7572 1001      20   0 1316268 340060  42900 S 402.0   2.1  32:54.77 application
   7572 1001      20   0 1316268 340324  42900 S 400.0   2.1  32:58.77 application
   7572 1001      20   0 1316268 340588  42900 S 401.0   2.1  33:02.78 application
   7572 1001      20   0 1316268 340852  42900 S 396.0   2.1  33:06.78 application
   7572 1001      20   0 1316268 340852  42900 S 402.0   2.1  33:10.80 application
   7572 1001      20   0 1316268 340852  42900 S 400.0   2.1  33:14.80 application
   7572 1001      20   0 1316268 340852  42900 S 403.0   2.1  33:18.83 application
   7572 1001      20   0 1316268 340852  42900 S 400.0   2.1  33:22.83 application
   7572 1001      20   0 1316268 341116  42900 S 402.0   2.1  33:26.85 application
   7572 1001      20   0 1316268 341116  42900 S 399.0   2.1  33:30.84 application
   7572 1001      20   0 1316268 341116  42900 S 397.0   2.1  33:34.85 application
   7572 1001      20   0 1316268 341116  42900 S 401.0   2.1  33:38.86 application
   7572 1001      20   0 1317292 341116  42900 S 402.0   2.1  33:42.88 application
   7572 1001      20   0 1317292 341116  42900 S 398.0   2.1  33:46.86 application
   7572 1001      20   0 1317292 341116  42900 S 403.0   2.1  33:50.89 application
   7572 1001      20   0 1317292 341116  42900 S 401.0   2.1  33:54.90 application
   7572 1001      20   0 1317292 341116  42900 S 397.0   2.1  33:58.87 application
   7572 1001      20   0 1317292 341116  42900 S 403.0   2.1  34:02.90 application
   7572 1001      20   0 1317292 341644  42900 S 401.0   2.1  34:06.91 application
   7572 1001      20   0 1317292 341644  42900 S 399.0   2.1  34:10.94 application
   7572 1001      20   0 1317292 341908  42900 S 399.0   2.1  34:14.93 application
   7572 1001      20   0 1317292 341908  42900 S 401.0   2.1  34:18.94 application
   7572 1001      20   0 1317292 341908  42900 S 398.0   2.1  34:22.92 application
   7572 1001      20   0 1317292 341908  42900 S 400.0   2.1  34:26.92 application
   7572 1001      20   0 1317292 341908  42900 S 404.0   2.1  34:30.96 application
   7572 1001      20   0 1317292 341908  42900 S 401.0   2.1  34:34.97 application
   7572 1001      20   0 1318
